,Nom,Description,Catégorie,Association avec un groupe?,Podcast,X,YouTube,IG,Substack,Tiktok,Instagram,Twitch/kick,Commentaires,A,B,C
Laura,Loomer,"American far-right political activist, conspiracy theorist, and internet personality. Loomer has worked as an activist for several organizations, including Project Veritas, the Geller Report, Rebel News, and InfoWars.
How far-right activist Laura Loomer is shaping the Trump administration | PBS News


---

Dans l'entourage direct de Trump lors de son assermentation.",Extrême droite,"Project Veritas
Rebel News
Infowars",FALSE,1 800 000,96 500,15 700,,,,,,xx,,
Steve,Bannon,"an American media executive, political strategist, pundit and former investment banker. He served as the White House's chief strategist for the first seven months of president Donald Trump's first administration before Trump fired him. He is a former executive chairman of Breitbart News. Since 2019, Bannon has hosted the War Room podcast.

""godfather of the Maga movement""",Premiers influenceurs,Real America's Voice,FALSE,270 600,20 500,225 000,,,,,@Bannons_WarRoom,,x,x
Dana,White,"CEO de la UFC

White is on the board of Meta as the social media company looks to cozy up to the new administration.
https://www.politico.com/news/2025/01/21/trump-world-21-people-to-know-00198691

a parlé lors de l’inauguration et a souligné le travail des influenceurs dans l’élection de Trump 
“I want to thank the Nelk Boys, Adin Ross, Theo Von, Bussin’ With The Boys and last but not least, the mighty and powerful Joe Rogan,” White said.",Entertainment,UFC,FALSE,6 900 000,,1 070 000,,,,,CEO de la UFC,,x,x
Tucker,Carlson,"American conservative political commentator who hosted the nightly political talk show Tucker Carlson Tonight on Fox News from 2016 to 2023. Since his contract with Fox News was terminated, he has hosted Tucker on X and The Tucker Carlson Show. An advocate of President Donald Trump, Carlson has been described as ""perhaps the highest-profile proponent of Trumpism"", ""the most influential voice in right-wing media, without a close second"", and a leading voice of white grievance politics.",Premiers influenceurs,Tucker Carlson Network (TCN),FALSE,16 600 000,4 640 000,5 600 000,,,,,,,xx,
Joe,Rogan,"Trump was reelected with help from podcasters like Joe Rogan. Is he losing their support over Epstein and Iran? - ABC News

What Democrats Don’t Understand About Joe Rogan - POLITICO",Manosphere,,TRUE,15 500 000,20 300 000,19 900 000,,,,,,,x,
Ben,Shapiro,"Benjamin Aaron Shapiro (born January 15, 1984) is an American conservative political commentator, media host, and attorney. He writes columns for Creators Syndicate, Newsweek, and Ami Magazine, and is editor emeritus for The Daily Wire, which he co-founded in 2015. Shapiro is the host of The Ben Shapiro Show, a daily political podcast and live radio show. He was editor-at-large of Breitbart News from 2012 until his resignation in 2016. Shapiro has also authored sixteen non-fiction books.
Shapiro has made frequent appearances on PragerU with talks on intersectionality and Hollywood with 4,900,000 to 8,400,000 views as of December 2018.[48][40] In 2021, Ben Shapiro's podcast was ranked 9th most listened to on Apple podcasts.[

""There are three reasons I'm going to vote for Donald Trump in 2020 when I didn't four years ago: First, I was simply wrong about Donald Trump on policy. Second, I wasn't really wrong about Donald Trump on character, but whatever damage he was going to do has already been done, and it's not going to help if I don't vote for him this time. And third, and most importantly: The Democrats have lost their fucking minds.

---

Daily Wire emploie plusieurs influenceurs de droite MAGA.",Premiers influenceurs,"PragerU
TruthRevolt website
David Horowitz Freedom Center",FALSE,7 900 000,7 230 000,4 700 000,,,,,,x,,
Charlie,Kirk,"American right-wing political activist, entrepreneur, and media personality. He co-founded the conservative organization Turning Point USA (TPUSA) in 2012 and was its executive director. He published a range of books and hosted The Charlie Kirk Show, a talk radio program. Kirk was one of the most prominent voices of the MAGA movement within the Republican Party, and he is considered to be an icon of contemporary conservatism.

he published the The Maga Doctrine, a bestselling book that argued in favour of Christian nationalism and the “America First” agenda.",Premiers influenceurs,Turning Point USA,FALSE,600 000,5 470 000,13 700 000,,,,,,,,
Andrew,Schulz,"American stand-up comedian, actor, and podcaster. 
He has been described as part of the manosphere.",Manosphere,,TRUE,661 600,3 020 000,4 500 000,,,,,,,,x
Jack,Posobiec,"American alt-right political activist, television correspondent, conspiracy theorist, and former United States Navy intelligence officer.
Posobiec is known for his pro-Donald Trump comments on Twitter, and has used white supremacist and antisemitic symbols and talking points, including the white genocide conspiracy theory. He has promoted fake news, including the debunked Pizzagate conspiracy theory claiming high-ranking Democratic Party officials were involved in a child sex ring. He was also a promoter of the Stop the Steal movement. From 2018 to 2021, Posobiec was employed by One America News Network (OANN), a far-right cable channel, as a political correspondent and on-air presenter. He left OANN in May 2021 to begin hosting a show for the conservative student organization Turning Point USA, and to join conservative news site Human Events as a senior editor.",Extrême droite,"Turning Point USA
Stop the steal
Citizens for Trump
Unite The Right",FALSE,3 200 000,,493 000,,,,,,,x,
Tim,Pool," American right-wing political commentator and podcast host. He first became known for live streaming the 2011 Occupy Wall Street protests. He joined Vice Media and Fusion TV in 2014, later working on YouTube and other platforms.

In July 2019, Pool was invited to participate in a White House event hosting right-wing internet personalities who Trump characterized as unfairly targeted for their views

In August 2020, Trump liked a tweet published by Pool expressing sympathy and support for Kyle Rittenhouse, a 17-year-old from Illinois then facing trial on homicide charges of killing two people during the riots in Kenosha, Wisconsin, for which he was ultimately acquitted.[56] Trump's son, Donald Trump Jr., retweeted a statement by Pool describing how the case of Rittenhouse had convinced Pool to vote for Trump.

A report from the Election Integrity Partnership (EIP) said that Pool was a ""superspreader"" of fake news surrounding voter fraud before and after the 2020 United States presidential election.[

In November 2022, Pool interviewed rapper and presidential candidate Kanye West on his podcast, Timcast IRL. West's political advisors, Milo Yiannopoulos and white supremacist Nick Fuentes also participated in the interview. The interview came days after West and Fuentes met with former President Trump

---

* Fait partie des influenceurs qui auraient été payés par la firme Tenet Media et Russia Today pour produire des podcasts alignés sur les positions politiques russes, selon une mise en accusation du Département de la Justice (ancien attorney general Merrick Garland), datant de 2024. Ils auraient reçu des centaines de milliers de dollars pour leur travail. Se défend en disant qu'il n'était pas au courant et que si cela s'avérait, il est une victime d'un stratagème.

« The indictment accuses state broadcaster RT, formerly Russia Today, of paying a Tennessee firm $10m (£7.6m) to ""create and distribute content to US audiences with hidden Russian government messaging"". »",,,FALSE,2 400 000,1 450 000,473 000,,,,,,x,,
Benny,Johnson," American conservative political commentator and YouTuber. He has contributed to several conservative media outlets such as Breitbart News, TheBlaze, National Review, and The Daily Caller.

Johnson was briefly associated with BuzzFeed but was fired due to several instances of plagiarism, where he used text from sources such as Yahoo Answers and Wikipedia without giving due credit. Johnson has also worked for Turning Point USA and hosted for Newsmax TV.

---

* Fait partie des influenceurs qui auraient été payés par la firme Tenet Media et Russia Today pour produire des podcasts alignés sur les positions politiques russes, selon une mise en accusation du Département de la Justice (ancien attorney general Merrick Garland), datant de 2024. Ils auraient reçu des centaines de milliers de dollars pour leur travail. Se défend en disant qu'il n'était pas au courant et que si cela s'avérait, il est une victime d'un stratagème.

« The indictment accuses state broadcaster RT, formerly Russia Today, of paying a Tennessee firm $10m (£7.6m) to ""create and distribute content to US audiences with hidden Russian government messaging"". »",,Turning Point US,FALSE,3 900 000,5 760 000,2 100 000,,,,,,x,,
